DEPTH,DTCO,ECGR,HART,PEFZ,RHOZ,TNPH,Gelogical layer
2820.01,100.168,64.986,1.01,4.323,2.473,0.23,7
2820.162,99.595,62.815,0.948,4.312,2.47,0.215,7
2820.314,99.387,62.25,1.052,4.4,2.468,0.213,7
2820.467,99.511,61.909,1.118,4.514,2.471,0.212,7
2820.619,100.129,59.194,1.083,4.538,2.477,0.218,7
2820.772,99.167,56.286,0.977,4.466,2.483,0.232,7
2820.924,99.663,55.641,0.987,4.349,2.488,0.22,7
2821.076,100.013,57.334,0.99,4.265,2.496,0.216,7
2821.229,99.521,55.848,0.969,4.24,2.502,0.211,7
2821.381,99.142,56.369,0.972,4.234,2.507,0.213,7
2821.534,99.936,57.454,1.082,4.251,2.504,0.213,7
2821.686,101.533,61.002,1.064,4.245,2.5,0.222,7
2821.838,102.525,61.901,1.086,4.253,2.486,0.223,7
2821.991,103.2,64.327,1.026,4.212,2.467,0.239,7
2822.143,104.651,65.875,0.953,4.128,2.447,0.247,7
2822.296,104.256,62.258,0.855,3.981,2.44,0.25,7
2822.448,103.813,59.965,0.887,3.858,2.443,0.23,7
2822.6,99.68,58.318,0.893,3.845,2.445,0.22,7
2822.753,97.035,54.264,1.008,3.913,2.446,0.208,7
2822.905,93.972,50.287,1.204,3.99,2.45,0.193,7
2823.058,92.522,46.019,1.483,4.044,2.457,0.177,7
2823.21,91.952,46.905,1.444,4.123,2.458,0.171,7
2823.362,90.268,46.017,1.423,4.187,2.458,0.175,7
2823.515,89.868,49.297,1.426,4.172,2.461,0.186,7
2823.667,90.757,49.04,1.412,4.101,2.465,0.187,7
2823.82,90.669,50.813,1.396,4.052,2.469,0.186,7
2823.972,91.58,51.528,1.379,4.073,2.471,0.183,7
2824.124,92.37,51.423,1.412,4.103,2.469,0.18,7
2824.277,96.985,55.599,1.345,4.108,2.457,0.185,7
2824.429,99.937,54.584,1.255,4.063,2.44,0.201,7
2824.582,100.751,53.608,1.037,4.031,2.422,0.217,7
2824.734,102.223,54.204,0.951,4.014,2.411,0.23,7
2824.886,102.275,56.528,0.929,4.036,2.404,0.243,7
2825.039,101.504,56.413,0.883,4.074,2.405,0.243,7
2825.191,101.652,53.587,0.96,4.113,2.418,0.235,7
2825.344,101.257,54.753,1.049,4.148,2.438,0.226,7
